dataset,model,rmse,rank
california,PyGAM,1.428598,13
california,DT_mini,0.797055,11
california,DT_large,0.784121,9
california,OLS,2.191360,16
california,LassoCV,2.087627,14
california,RidgeCV,2.178053,15
california,RF,0.718275,4
california,GBM,0.650275,2
california,MLP,1.088485,12
california,FIGS_mini,0.754661,7
california,FIGS_large,0.737994,5
california,RuleFit,0.741651,6
california,HSTree_mini,0.795105,10
california,HSTree_large,0.768189,8
california,EBM,0.660017,3
california,TabPFN,0.603801,1
california,WeightedMegaTeacher,2.192161,17
abalone,PyGAM,0.705364,2
abalone,DT_mini,0.794185,14
abalone,DT_large,0.797057,15
abalone,OLS,0.721231,7
abalone,LassoCV,0.720338,6
abalone,RidgeCV,0.721876,8
abalone,RF,0.732093,9
abalone,GBM,0.735919,10
abalone,MLP,0.708886,3
abalone,FIGS_mini,0.793158,13
abalone,FIGS_large,0.801452,17
abalone,RuleFit,0.784597,12
abalone,HSTree_mini,0.800492,16
abalone,HSTree_large,0.769955,11
abalone,EBM,0.710895,4
abalone,TabPFN,0.670875,1
abalone,WeightedMegaTeacher,0.720333,5
cpu_act,PyGAM,0.173718,4
cpu_act,DT_mini,0.253144,12
cpu_act,DT_large,0.226447,9
cpu_act,OLS,0.565065,15
cpu_act,LassoCV,0.742457,16
cpu_act,RidgeCV,0.559656,14
cpu_act,RF,0.199308,5
cpu_act,GBM,0.158850,2
cpu_act,MLP,912.810974,17
cpu_act,FIGS_mini,0.239842,10
cpu_act,FIGS_large,0.199590,6
cpu_act,RuleFit,0.318561,13
cpu_act,HSTree_mini,0.253052,11
cpu_act,HSTree_large,0.224038,8
cpu_act,EBM,0.167552,3
cpu_act,TabPFN,0.138888,1
cpu_act,WeightedMegaTeacher,0.218887,7
house_16H,PyGAM,0.901921,8
house_16H,DT_mini,1.042565,12
house_16H,DT_large,1.003924,11
house_16H,OLS,1.044770,14
house_16H,LassoCV,1.042664,13
house_16H,RidgeCV,0.937416,10
house_16H,RF,0.829627,4
house_16H,GBM,0.840001,5
house_16H,MLP,1.519955,17
house_16H,FIGS_mini,1.101182,16
house_16H,FIGS_large,1.071380,15
house_16H,RuleFit,0.861472,6
house_16H,HSTree_mini,0.916714,9
house_16H,HSTree_large,0.887148,7
house_16H,EBM,0.761079,2
house_16H,TabPFN,0.728232,1
house_16H,WeightedMegaTeacher,0.816412,3
elevators,PyGAM,0.375632,2
elevators,DT_mini,0.743616,11
elevators,DT_large,0.704357,9
elevators,OLS,0.903981,15
elevators,LassoCV,0.904215,16
elevators,RidgeCV,0.876481,14
elevators,RF,0.623118,6
elevators,GBM,0.522039,5
elevators,MLP,0.983679,17
elevators,FIGS_mini,0.748350,12
elevators,FIGS_large,0.674808,7
elevators,RuleFit,0.679608,8
elevators,HSTree_mini,0.751891,13
elevators,HSTree_large,0.723031,10
elevators,EBM,0.397748,3
elevators,TabPFN,0.292012,1
elevators,WeightedMegaTeacher,0.429416,4
pol,PyGAM,0.549154,13
pol,DT_mini,0.362666,12
pol,DT_large,0.338574,8
pol,OLS,0.709816,15
pol,LassoCV,0.710064,16
